Ref,Val,Package,PosX,PosY,Rot,Side
"LED1","POW_LED","LED_0603_1608Metric",173.500000,-117.000000,90.000000,top
"LED2","CHG","LED_0603_1608Metric",173.787500,-100.212500,-90.000000,top
"LED3","CHG","LED_0603_1608Metric",175.500000,-100.212500,-90.000000,top
"SW4","TS-1088R-02526","4_TERMINAL_SWITCH_TC",174.160000,-93.269400,-90.000000,top
"SW5","TS-1088R-02526","4_TERMINAL_SWITCH_TC",174.705000,-110.019400,-90.000000,top
"SW6","TS-1088R-02526","4_TERMINAL_SWITCH_TC",174.000000,-125.500000,-90.000000,top
